---------------------------------------|---------|----------|---------|---------|-------------------
File                                   | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
---------------------------------------|---------|----------|---------|---------|-------------------
All files                              |   92.94 |    92.78 |   89.71 |   92.94 |                   
 data/src                              |     100 |      100 |   98.63 |     100 |                   
  dict.ts                              |     100 |      100 |     100 |     100 |                   
  index.ts                             |     100 |      100 |     100 |     100 |                   
  join.ts                              |     100 |      100 |   98.41 |     100 |                   
  struct-family.ts                     |     100 |      100 |     100 |     100 |                   
  struct.ts                            |     100 |      100 |     100 |     100 |                   
  until.ts                             |     100 |      100 |     100 |     100 |                   
 ephemeral/src                         |     100 |      100 |     100 |     100 |                   
  find-state.ts                        |     100 |      100 |     100 |     100 |                   
  index.ts                             |     100 |      100 |     100 |     100 |                   
 eslint-plugin/src                     |     100 |      100 |     100 |     100 |                   
  index.ts                             |     100 |      100 |     100 |     100 |                   
  walk.ts                              |     100 |      100 |     100 |     100 |                   
 eslint-plugin/src/rules               |     100 |      100 |     100 |     100 |                   
  explicit-state-types.ts              |     100 |      100 |     100 |     100 |                   
  index.ts                             |     100 |      100 |     100 |     100 |                   
  lifespan.ts                          |     100 |      100 |     100 |     100 |                   
  synchronous-selector-dependencies.ts |     100 |      100 |     100 |     100 |                   
 immortal/src                          |     100 |      100 |     100 |     100 |                   
  index.ts                             |     100 |      100 |     100 |     100 |                   
  seek-state.ts                        |     100 |      100 |     100 |     100 |                   
 internal/src                          |     100 |      100 |     100 |     100 |                   
  arbitrary.ts                         |     100 |      100 |     100 |     100 |                   
  caching.ts                           |     100 |      100 |     100 |     100 |                   
  future.ts                            |     100 |      100 |     100 |     100 |                   
  get-environment-data.ts              |     100 |      100 |     100 |     100 |                   
  index.ts                             |     100 |      100 |     100 |     100 |                   
  junction.ts                          |     100 |      100 |     100 |     100 |                   
  keys.ts                              |     100 |      100 |     100 |     100 |                   
  lazy-map.ts                          |     100 |      100 |     100 |     100 |                   
  lineage.ts                           |     100 |      100 |     100 |     100 |                   
  not-found-error.ts                   |     100 |      100 |     100 |     100 |                   
  operation.ts                         |     100 |      100 |     100 |     100 |                   
  pretty-print.ts                      |     100 |      100 |     100 |     100 |                   
  subject.ts                           |     100 |      100 |     100 |     100 |                   
  utility-types.ts                     |       0 |        0 |       0 |       0 |                   
 internal/src/atom                     |     100 |      100 |     100 |     100 |                   
  create-regular-atom.ts               |     100 |      100 |     100 |     100 |                   
  create-standalone-atom.ts            |     100 |      100 |     100 |     100 |                   
  dispose-atom.ts                      |     100 |      100 |     100 |     100 |                   
  index.ts                             |     100 |      100 |     100 |     100 |                   
  is-default.ts                        |     100 |      100 |     100 |     100 |                   
